Record.Num	Patch.CT	Patch.Num	UniquePatch.num	TransectColor	Clip.Label	Distance	Clip.AB	AreaBefore	AreaAfter	BiteYN	BiteYN.Corrected
86	Belize	2	2	Blue	18b	18	b	7.992	6.562	n	N
87	Belize	2	2	Blue	20a	20	a	8.874	9.921	n	N
88	Belize	2	2	Blue	20b	20	b	10.413	10.145	n	N
89	Belize	2	2	Pink	0a	0	a	9.578	8.857	n	N
90	Belize	2	2	Pink	0b	0	b	10.92	9.056	y	Y
91	Belize	2	2	Pink	2a	2	a	9.817	1.43	y	Y
92	Belize	2	2	Pink	2b	2	b	7.005	9.211	n	N
93	Belize	2	2	Pink	4a	4	a	11.49	8.104	n	N
94	Belize	2	2	Pink	4b	4	b	9.958	10.983	n	N
95	Belize	2	2	Pink	6a	6	a	8.998	7.758	n	N
96	Belize	2	2	Pink	6b	6	b	7.131	6.193	n	N
97	Belize	2	2	Pink	8a	8	a	10.052	7.512	n	N
98	Belize	2	2	Pink	8b	8	b	9.195	8.206	n	N
99	Belize	2	2	Pink	10a	10	a	9.553	6.527	n	N
100	Belize	2	2	Pink	10b	10	b	9.538	10.388	n	N
101	Belize	2	2	Pink	12a	12	a	10.496	9.491	n	N
102	Belize	2	2	Pink	12b	12	b	10.404	6.983	n	N
103	Belize	2	2	Pink	14a	14	a	9.457	8.624	n	N
104	Belize	2	2	Pink	14b	14	b	9.531	10.063	n	N
105	Belize	2	2	Pink	16a	16	a	10.934	10.582	n	N
106	Belize	2	2	Pink	16b	16	b	8.628	10.097	n	N
107	Belize	2	2	Pink	18a	18	a	9.416	9.39	n	N
108	Belize	2	2	Pink	18b	18	b	8.969	8.606	n	N
109	Belize	2	2	Pink	20a	20	a	12.158	11.831	n	N
110	Belize	2	2	Pink	20b	20	b	9.334	10.018	n	N
111	Belize	2	2	Orange	0a	0	a	9.493	1.742	y	Y
112	Belize	2	2	Orange	0b	0	b	10.842	1.635	y	Y
113	Belize	2	2	Orange	2a	2	a	11.095	1.757	y	Y
114	Belize	2	2	Orange	2b	2	b	10.319	1.386	y	Y
115	Belize	2	2	Orange	4a	4	a	9.524	1.613	y	Y
116	Belize	2	2	Orange	4b	4	b	9.902	1.42	y	Y
117	Belize	2	2	Orange	6a	6	a	9.83	1.62	y	Y
118	Belize	2	2	Orange	6b	6	b	9.558	1.544	y	Y
119	Belize	2	2	Orange	8a	8	a	7.693	7.604	n	N
120	Belize	2	2	Orange	8b	8	b	9.257	7.7	n	N
121	Belize	2	2	Orange	10a	10	a	9.105	10.981	n	N
122	Belize	2	2	Orange	10b	10	b	8.162	7.306	n	N
123	Belize	2	2	Orange	12a	12	a	10.418	8.952	n	N
124	Belize	2	2	Orange	12b	12	b	11.374	10.218	n	N
125	Belize	2	2	Orange	14a	14	a	9.121	8.499	n	N
126	Belize	2	2	Orange	14b	14	b	8.92	7.31	n	N
127	Belize	2	2	Orange	16a	16	a	10.636	10.995	n	N
128	Belize	2	2	Orange	16b	16	b	8.366	9.997	n	N
129	Belize	2	2	Orange	18a	18	a	9.251	7.944	n	N
130	Belize	2	2	Orange	18b	18	b	8.779	9.921	n	N
131	Belize	2	2	Orange	20a	20	a	12.025	3.485	y	Y
132	Belize	2	2	Orange	20b	20	b	9.158	10.395	n	N
133	Belize	3	3	Blue	0a	0	a	NA	NA	NA	NA
134	Belize	3	3	Blue	0b	0	b	NA	NA	NA	NA
135	Belize	3	3	Blue	2a	2	a	13.995	9.837	y	Y
136	Belize	3	3	Blue	2b	2	b	11.654	9.229	y	Y
137	Belize	3	3	Blue	4a	4	a	15.765	13.629	n	N
138	Belize	3	3	Blue	4b	4	b	12.365	10.293	y	Y
139	Belize	3	3	Blue	6a	6	a	13.95	12.335	n	N
140	Belize	3	3	Blue	6b	6	b	12.123	10.833	n	N
141	Belize	3	3	Blue	8a	8	a	14.553	12.965	n	N
142	Belize	3	3	Blue	8b	8	b	13.871	12.244	y	Y
143	Belize	3	3	Blue	10a	10	a	12.737	11.736	y	Y
144	Belize	3	3	Blue	10b	10	b	15.187	2.195	y	Y
145	Belize	3	3	Blue	12a	12	a	15.283	14.809	y	Y
146	Belize	3	3	Blue	12b	12	b	15.604	14.61	n	N
147	Belize	3	3	Blue	14a	14	a	15.889	15.342	n	N
148	Belize	3	3	Blue	14b	14	b	17.299	16.15	n	N
149	Belize	3	3	Blue	16a	16	a	15.85	2.326	y	Y
150	Belize	3	3	Blue	16b	16	b	13.027	11.565	n	N
151	Belize	3	3	Blue	18a	18	a	13.922	12.925	n	N
152	Belize	3	3	Blue	18b	18	b	15.029	13.584	n	N
153	Belize	3	3	Blue	20a	20	a	14.822	14.482	n	N
154	Belize	3	3	Blue	20b	20	b	11.931	10.808	y	Y
155	Belize	3	3	Pink	0a	0	a	NA	NA	NA	NA
156	Belize	3	3	Pink	0b	0	b	NA	NA	NA	NA
157	Belize	3	3	Pink	2a	2	a	14.226	1.383	y	Y
158	Belize	3	3	Pink	2b	2	b	11.231	1.316	y	Y
159	Belize	3	3	Pink	4a	4	a	11.757	9.112	y	Y
160	Belize	3	3	Pink	4b	4	b	10.465	10.889	n	N
161	Belize	3	3	Pink	6a	6	a	12.763	2.305	y	Y
162	Belize	3	3	Pink	6b	6	b	9.999	1.361	y	Y
163	Belize	3	3	Pink	8a	8	a	11.021	7.785	y	Y
164	Belize	3	3	Pink	8b	8	b	12.593	13.533	n	N
165	Belize	3	3	Pink	10a	10	a	11.436	11.721	n	N
166	Belize	3	3	Pink	10b	10	b	10.651	9.081	y	Y
167	Belize	3	3	Pink	12a	12	a	12.358	12.297	y	Y
168	Belize	3	3	Pink	12b	12	b	14.066	12.798	n	N
169	Belize	3	3	Pink	14a	14	a	12.216	12.614	n	N
170	Belize	3	3	Pink	14b	14	b	13.959	13.967	n	N
171	Belize	3	3	Pink	16a	16	a	9.654	8.985	n	N
172	Belize	3	3	Pink	16b	16	b	10.476	10.292	n	N
173	Belize	3	3	Pink	18a	18	a	11.572	12.624	n	N
174	Belize	3	3	Pink	18b	18	b	12.546	13.353	n	N
175	Belize	3	3	Pink	20a	20	a	12.407	12.073	n	N
176	Belize	3	3	Pink	20b	20	b	13.973	12.658	n	N
177	Belize	3	3	Orange	0a	0	a	NA	NA	NA	NA
178	Belize	3	3	Orange	0b	0	b	NA	NA	NA	NA
179	Belize	3	3	Orange	2a	2	a	11.006	1.216	y	Y
180	Belize	3	3	Orange	2b	2	b	10.751	1.286	y	Y
181	Belize	3	3	Orange	4a	4	a	9.838	3.606	y	Y
182	Belize	3	3	Orange	4b	4	b	12.163	10.621	y	Y
183	Belize	3	3	Orange	6a	6	a	11.391	9.966	y	Y
184	Belize	3	3	Orange	6b	6	b	11.954	10.105	y	Y
185	Belize	3	3	Orange	8a	8	a	11.661	11.327	n	N
186	Belize	3	3	Orange	8b	8	b	11.995	11.063	y	Y
187	Belize	3	3	Orange	10a	10	a	10.909	10.356	n	N
188	Belize	3	3	Orange	10b	10	b	12.529	11.034	y	Y
189	Belize	3	3	Orange	12a	12	a	12.629	12.201	n	N
190	Belize	3	3	Orange	12b	12	b	15.326	14.286	y	Y
191	Belize	3	3	Orange	14a	14	a	12.016	3.632	y	Y
192	Belize	3	3	Orange	14b	14	b	12.81	11.778	y	Y
193	Belize	3	3	Orange	16a	16	a	10.065	10.292	n	N
194	Belize	3	3	Orange	16b	16	b	8.153	7.482	n	N
195	Belize	3	3	Orange	18a	18	a	11.409	9.003	n	N
196	Belize	3	3	Orange	18b	18	b	8.487	9.12	n	N
197	Belize	3	3	Orange	20a	20	a	10.805	10.989	n	N
198	Belize	3	3	Orange	20b	20	b	10.977	2.281	y	Y
199	Belize	4	4	Blue	0a	0	a	6.761	6.925	n	N
200	Belize	4	4	Blue	0b	0	b	5.986	6.916	n	N
201	Belize	4	4	Blue	2a	2	a	8.141	7.319	n	N
202	Belize	4	4	Blue	2b	2	b	6.63	6.671	n	N
203	Belize	4	4	Blue	4a	4	a	7.473	5.01	n	N
204	Belize	4	4	Blue	4b	4	b	9.978	9.878	n	N
205	Belize	4	4	Blue	6a	6	a	6.477	5.266	n	N
206	Belize	4	4	Blue	6b	6	b	10.563	9.683	n	N
207	Belize	4	4	Blue	8a	8	a	6.436	5.666	n	N
208	Belize	4	4	Blue	8b	8	b	6.759	7.24	n	N
209	Belize	4	4	Blue	10a	10	a	6.864	6.461	n	N
210	Belize	4	4	Blue	10b	10	b	9.712	9.634	n	N
211	Belize	4	4	Blue	12a	12	a	9.022	8.624	n	N
212	Belize	4	4	Blue	12b	12	b	7.13	6.911	n	N
213	Belize	4	4	Blue	14a	14	a	6.07	5.43	y	Y
214	Belize	4	4	Blue	14b	14	b	7.425	7.332	n	N
215	Belize	4	4	Blue	16a	16	a	7.608	7.322	n	N
216	Belize	4	4	Blue	16b	16	b	8.372	8.661	n	N
217	Belize	4	4	Blue	18a	18	a	6.826	2.885	y	Y
218	Belize	4	4	Blue	18b	18	b	9.684	9.761	n	N
219	Belize	4	4	Blue	20a	20	a	7.78	7.513	n	N
220	Belize	4	4	Blue	20b	20	b	6.018	0.94	y	Y
221	Belize	4	4	Pink	0a	0	a	9.375	9.146	n	N
222	Belize	4	4	Pink	0b	0	b	7.86	7.973	n	N
223	Belize	4	4	Pink	2a	2	a	5.247	0.796	y	Y
224	Belize	4	4	Pink	2b	2	b	9.022	9.087	n	N
225	Belize	4	4	Pink	4a	4	a	6.579	6.592	n	N
226	Belize	4	4	Pink	4b	4	b	6.812	5.292	n	N
227	Belize	4	4	Pink	6a	6	a	6.06	6.497	n	N
228	Belize	4	4	Pink	6b	6	b	9.171	8.906	n	N
229	Belize	4	4	Pink	8a	8	a	8.265	8.703	n	N
230	Belize	4	4	Pink	8b	8	b	9.363	10.027	n	N
231	Belize	4	4	Pink	10a	10	a	9.106	9.361	n	N
232	Belize	4	4	Pink	10b	10	b	6.074	5.739	n	N
233	Belize	4	4	Pink	12a	12	a	7.48	1.057	y	Y
234	Belize	4	4	Pink	12b	12	b	5.952	5.879	n	N
235	Belize	4	4	Pink	14a	14	a	9.578	9.346	n	N
236	Belize	4	4	Pink	14b	14	b	5.871	5.499	n	N
237	Belize	4	4	Pink	16a	16	a	6.934	6.062	n	N
238	Belize	4	4	Pink	16b	16	b	8.306	7.139	n	N
239	Belize	4	4	Pink	18a	18	a	6.168	5.75	n	N
240	Belize	4	4	Pink	18b	18	b	9.667	7.81	n	N
241	Belize	4	4	Pink	20a	20	a	8.399	8.086	n	N
242	Belize	4	4	Pink	20b	20	b	9.982	9.498	n	N
243	Belize	4	4	Orange	0a	0	a	8.252	9.008	n	N
244	Belize	4	4	Orange	0b	0	b	7.015	NA	NA	NA
245	Belize	4	4	Orange	2a	2	a	5.353	6.536	n	N
246	Belize	4	4	Orange	2b	2	b	6.435	6.997	n	N
247	Belize	4	4	Orange	4a	4	a	5.158	NA	NA	NA
248	Belize	4	4	Orange	4b	4	b	6.594	6.813	n	N
249	Belize	4	4	Orange	6a	6	a	7.358	8.275	n	N
250	Belize	4	4	Orange	6b	6	b	6.734	6.757	n	N
251	Belize	4	4	Orange	8a	8	a	7.316	8.198	n	N
252	Belize	4	4	Orange	8b	8	b	5.112	5.381	n	N
253	Belize	4	4	Orange	10a	10	a	7.12	7.502	n	N
254	Belize	4	4	Orange	10b	10	b	6.824	6.508	n	N
255	Belize	4	4	Orange	12a	12	a	8.917	9.367	n	N
256	Belize	4	4	Orange	12b	12	b	5.679	5.31	n	N
257	Belize	4	4	Orange	14a	14	a	6.805	7.008	n	N
258	Belize	4	4	Orange	14b	14	b	7.795	7.926	n	N
259	Belize	4	4	Orange	16a	16	a	7.769	7.866	n	N
260	Belize	4	4	Orange	16b	16	b	9.393	9.407	n	N
261	Belize	4	4	Orange	18a	18	a	9.883	10.218	n	N
262	Belize	4	4	Orange	18b	18	b	9.558	8.427	n	N
263	Belize	4	4	Orange	20a	20	a	7.383	7.439	n	N
264	Belize	4	4	Orange	20b	20	b	9.274	8.157	n	N
265	Belize	5	5	Blue	0a	0	a	6.639	2.186	y	Y
266	Belize	5	5	Blue	0b	0	b	6.93	6.018	n	N
267	Belize	5	5	Blue	2a	2	a	6.677	8.524	n	N
268	Belize	5	5	Blue	2b	2	b	7.533	7.324	y	Y
269	Belize	5	5	Blue	4a	4	a	5.166	3.575	n	N
270	Belize	5	5	Blue	4b	4	b	6.85	6.961	n	N
271	Belize	5	5	Blue	6a	6	a	6.464	6.106	n	N
272	Belize	5	5	Blue	6b	6	b	7.277	7.477	n	N
273	Belize	5	5	Blue	8a	8	a	7.176	7.827	n	N
274	Belize	5	5	Blue	8b	8	b	7.585	7.007	n	N
275	Belize	5	5	Blue	10a	10	a	6.712	7.708	n	N
276	Belize	5	5	Blue	10b	10	b	6.288	6.214	n	N
277	Belize	5	5	Blue	12a	12	a	8.207	5.74	n	N
278	Belize	5	5	Blue	12b	12	b	7.854	7.681	n	N
279	Belize	5	5	Blue	14a	14	a	7.852	7.303	n	N
280	Belize	5	5	Blue	14b	14	b	8.984	9.178	n	N
281	Belize	5	5	Blue	16a	16	a	6.98	7.147	n	N
282	Belize	5	5	Blue	16b	16	b	7.462	7.136	n	N
283	Belize	5	5	Blue	18a	18	a	7.067	8.178	n	N
284	Belize	5	5	Blue	18b	18	b	7.004	5.916	n	N
285	Belize	5	5	Blue	20a	20	a	6.752	6.928	n	N
286	Belize	5	5	Blue	20b	20	b	9.383	9.023	n	N
287	Belize	5	5	Pink	0a	0	a	5.808	4.685	y	Y
288	Belize	5	5	Pink	0b	0	b	8.089	2.4	y	Y
289	Belize	5	5	Pink	2a	2	a	7.469	7.806	n	N
290	Belize	5	5	Pink	2b	2	b	8.28	NA	NA	NA
291	Belize	5	5	Pink	4a	4	a	6.853	8.307	n	N
292	Belize	5	5	Pink	4b	4	b	7.267	6.871	n	N
293	Belize	5	5	Pink	6a	6	a	6.371	9.077	n	N
294	Belize	5	5	Pink	6b	6	b	7.339	7.576	n	N
295	Belize	5	5	Pink	8a	8	a	6.651	7.535	n	N
296	Belize	5	5	Pink	8b	8	b	7.408	6.595	n	N
297	Belize	5	5	Pink	10a	10	a	6.099	7.268	n	N
298	Belize	5	5	Pink	10b	10	b	8.614	8.542	n	N
299	Belize	5	5	Pink	12a	12	a	7.743	8.661	n	N
300	Belize	5	5	Pink	12b	12	b	8.105	4.696	n	N
301	Belize	5	5	Pink	14a	14	a	7.851	9.002	n	N
302	Belize	5	5	Pink	14b	14	b	7.981	8.114	n	N
303	Belize	5	5	Pink	16a	16	a	7.762	7.999	n	N
304	Belize	5	5	Pink	16b	16	b	10.174	8.602	n	N
305	Belize	5	5	Pink	18a	18	a	8.014	6.693	n	N
306	Belize	5	5	Pink	18b	18	b	8.07	7.651	n	N
307	Belize	5	5	Pink	20a	20	a	6.271	7.053	n	N
308	Belize	5	5	Pink	20b	20	b	6.68	6.133	n	N
309	Belize	5	5	Orange	0a	0	a	6.983	1.563	y	Y
310	Belize	5	5	Orange	0b	0	b	7.445	1.775	y	Y
311	Belize	5	5	Orange	2a	2	a	7.067	9.157	n	N
312	Belize	5	5	Orange	2b	2	b	5.584	5.412	n	N
313	Belize	5	5	Orange	4a	4	a	7.388	8.901	n	N
314	Belize	5	5	Orange	4b	4	b	6.976	8.383	n	N
315	Belize	5	5	Orange	6a	6	a	7.812	8.944	n	N
316	Belize	5	5	Orange	6b	6	b	7.435	7.543	n	N
317	Belize	5	5	Orange	8a	8	a	5.759	6.059	n	N
318	Belize	5	5	Orange	8b	8	b	7.515	7.232	n	N
319	Belize	5	5	Orange	10a	10	a	6.594	7.061	n	N
320	Belize	5	5	Orange	10b	10	b	7.7	7.706	n	N
321	Belize	5	5	Orange	12a	12	a	7.864	8.535	n	N
322	Belize	5	5	Orange	12b	12	b	9.03	9.204	n	N
323	Belize	5	5	Orange	14a	14	a	7.681	8.931	n	N
324	Belize	5	5	Orange	14b	14	b	8.878	7.986	n	N
325	Belize	5	5	Orange	16a	16	a	6.888	6.487	n	N
326	Belize	5	5	Orange	16b	16	b	6.842	4.313	n	N
327	Belize	5	5	Orange	18a	18	a	7.797	7.3	n	N
328	Belize	5	5	Orange	18b	18	b	7.38	5.863	n	N
329	Belize	5	5	Orange	20a	20	a	6.745	5.371	n	N
330	Belize	5	5	Orange	20b	20	b	7.59	7.275	n	N
331	Belize	6	6	Blue	0a	0	a	7.216	6.96	n	N
332	Belize	6	6	Blue	0b	0	b	6.948	6.368	n	N
333	Belize	6	6	Blue	2a	2	a	8.444	6.462	n	N
334	Belize	6	6	Blue	2b	2	b	8.877	7.931	n	N
335	Belize	6	6	Blue	4a	4	a	9.775	8.973	n	N
336	Belize	6	6	Blue	4b	4	b	8.211	7.964	n	N
337	Belize	6	6	Blue	6a	6	a	8.009	7.063	n	N
338	Belize	6	6	Blue	6b	6	b	8.394	8.265	n	N
339	Belize	6	6	Blue	8a	8	a	9.242	8.755	n	N
340	Belize	6	6	Blue	8b	8	b	8.184	8.343	n	N
341	Belize	6	6	Blue	10a	10	a	7.639	7.07	n	N
342	Belize	6	6	Blue	10b	10	b	8.564	7.646	n	N
343	Belize	6	6	Blue	12a	12	a	6.856	6.647	n	N
344	Belize	6	6	Blue	12b	12	b	6.574	6.62	n	N
345	Belize	6	6	Blue	14a	14	a	8.079	8.21	n	N
346	Belize	6	6	Blue	14b	14	b	7.226	7.683	n	N
347	Belize	6	6	Blue	16a	16	a	8.929	8.307	n	N
348	Belize	6	6	Blue	16b	16	b	9.103	8.844	n	N
349	Belize	6	6	Blue	18a	18	a	7.322	7.169	n	N
350	Belize	6	6	Blue	18b	18	b	8.878	7.426	n	N
351	Belize	6	6	Blue	20a	20	a	8.651	8.417	n	N
352	Belize	6	6	Blue	20b	20	b	7.886	7.254	n	N
353	Belize	6	6	Pink	0a	0	a	8.58	1.072	y	Y
354	Belize	6	6	Pink	0b	0	b	8.208	1.433	y	Y
355	Belize	6	6	Pink	2a	2	a	7.11	6.552	n	N
356	Belize	6	6	Pink	2b	2	b	6.821	2.701	y	Y
357	Belize	6	6	Pink	4a	4	a	7.25	6.798	n	N
358	Belize	6	6	Pink	4b	4	b	7.701	7.379	n	N
359	Belize	6	6	Pink	6a	6	a	6.916	6.369	n	N
360	Belize	6	6	Pink	6b	6	b	8.015	7.496	n	N
361	Belize	6	6	Pink	8a	8	a	7.787	7.199	n	N
362	Belize	6	6	Pink	8b	8	b	6.742	6.544	n	N
363	Belize	6	6	Pink	10a	10	a	7.685	7.151	n	N
364	Belize	6	6	Pink	10b	10	b	9.41	8.942	n	N
365	Belize	6	6	Pink	12a	12	a	9.234	8.549	n	N
366	Belize	6	6	Pink	12b	12	b	6.686	6.572	n	N
367	Belize	6	6	Pink	14a	14	a	9.735	9.401	n	N
368	Belize	6	6	Pink	14b	14	b	9.154	9.01	n	N
369	Belize	6	6	Pink	16a	16	a	6.732	8.1	n	N
370	Belize	6	6	Pink	16b	16	b	7.699	6.569	n	N
371	Belize	6	6	Pink	18a	18	a	6.144	5.864	n	N
372	Belize	6	6	Pink	18b	18	b	6.135	6.333	n	N
373	Belize	6	6	Pink	20a	20	a	5.733	6.132	n	N
374	Belize	6	6	Pink	20b	20	b	7.816	7.879	n	N
375	Belize	6	6	Orange	0a	0	a	8.917	2.339	y	Y
376	Belize	6	6	Orange	0b	0	b	7.012	1.162	y	Y
377	Belize	6	6	Orange	2a	2	a	6.924	5.031	y	Y
378	Belize	6	6	Orange	2b	2	b	6.703	6.192	y	Y
379	Belize	6	6	Orange	4a	4	a	6.676	6.987	n	N
380	Belize	6	6	Orange	4b	4	b	6.953	7.58	n	N
381	Belize	6	6	Orange	6a	6	a	7.695	7.092	n	N
382	Belize	6	6	Orange	6b	6	b	7.712	8.413	n	N
383	Belize	6	6	Orange	8a	8	a	8.294	7.965	n	N
384	Belize	6	6	Orange	8b	8	b	7.367	7.241	n	N
385	Belize	6	6	Orange	10a	10	a	8.229	7.905	n	N
386	Belize	6	6	Orange	10b	10	b	9.493	10.166	n	N
387	Belize	6	6	Orange	12a	12	a	6.093	6.112	n	N
388	Belize	6	6	Orange	12b	12	b	8.198	8.157	n	N
389	Belize	6	6	Orange	14a	14	a	9.106	9.13	n	N
390	Belize	6	6	Orange	14b	14	b	7.672	7.749	n	N
391	Belize	6	6	Orange	16a	16	a	8.335	7.468	n	N
392	Belize	6	6	Orange	16b	16	b	8.573	8.384	n	N
393	Belize	6	6	Orange	18a	18	a	7.429	7.009	n	N
394	Belize	6	6	Orange	18b	18	b	7.011	6.998	n	N
395	Belize	6	6	Orange	20a	20	a	8.011	7.594	n	N
396	Belize	6	6	Orange	20b	20	b	8.081	8.274	n	N
397	Belize	7	7	Blue	0a	0	a	5.829	7.833	n	N
398	Belize	7	7	Blue	0b	0	b	8.005	4.32	n	N
399	Belize	7	7	Blue	2a	2	a	4.953	5.479	n	N
400	Belize	7	7	Blue	2b	2	b	5.105	4.82	n	N
401	Belize	7	7	Blue	4a	4	a	6.282	5.571	n	N
402	Belize	7	7	Blue	4b	4	b	5.65	6	n	N
403	Belize	7	7	Blue	6a	6	a	5.989	0.835	y	Y
404	Belize	7	7	Blue	6b	6	b	6.563	7.197	n	N
405	Belize	7	7	Blue	8a	8	a	6.837	7.189	n	N
406	Belize	7	7	Blue	8b	8	b	6.139	0.989	y	Y
407	Belize	7	7	Blue	10a	10	a	6.007	6.978	n	N
408	Belize	7	7	Blue	10b	10	b	7.245	7.392	n	N
409	Belize	7	7	Blue	12a	12	a	6.923	7.356	n	N
410	Belize	7	7	Blue	12b	12	b	6.828	7.032	n	N
411	Belize	7	7	Blue	14a	14	a	8.16	8.571	n	N
412	Belize	7	7	Blue	14b	14	b	9.012	8.283	n	N
413	Belize	7	7	Blue	16a	16	a	7.492	6.899	n	N
414	Belize	7	7	Blue	16b	16	b	8.384	8.663	n	N
415	Belize	7	7	Blue	18a	18	a	5.485	6.257	n	N
416	Belize	7	7	Blue	18b	18	b	8.676	8.981	n	N
