Record.Num	Patch.Num	UniquePatch.Num	Patch.CT	Transect	Month	Day 	Year	Time	Heading	Visibility_ft	Observer	Species.Ident 	T1.10_15	T1.15_20	T1.20_25	T1.25_30	T1.30	T1_Unknown	T2.0_5	T2.5_10	T2.10_15	T2.15_20	T2.20_25	T2.25_30	T2.30	T2.Unknown	Notes
30	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Yellowtail snapper (O.chrysurus)															
31	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	"Puffers, Triggers, Filefish"															
32	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Sharpnose puffer															
33	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	 (C. rostrata)															
34	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Balloon (D. holocanthus)															
35	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Porcupine (D. hystrix)															
36	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Queen trigger (Balistes vetula)															
37	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Gray trigger (B. capriscus)															
38	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Black durgon (Melicthys niger)															
39	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Orangepotted file (C. pullus)															
40	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Whitespotted file(C. macrocerus)															
41	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Butterflyfish															
42	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Longsnout BFF (C. aculeatus)															
43	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Foureyebff (C. capistratus)															
44	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Spotfinbff(C. ocellatus)							2								
45	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Bandedbff (C. striatus)															
46	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Reef bff(C. sedentarius)															
47	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Parrotfish							15	7	3						
48	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Stoplight Ter ((Sp. viride) Int.)									1						
49	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Princess Ter.															
50	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Striped Ter.															
51	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	RedbandTer.															
52	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	RedtailTer.															
53	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Yellowtail Ter.															
54	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Green-blotch Ter.															
55	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Damselfishes &Chromis															
56	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Sergeant major (A. saxatilis)															
57	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Blue chromis															
58	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Brown chromis (C. multilineata)															
59	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Yellowtail damsel (M. chrusurus)															
60	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Beaugregory															
61	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Bicolor damsel															
62	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Threespot damsel															
63	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Dusky damsel							4								
64	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Cocoa Damsel 							2								
65	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Angelfishes															
66	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Grey (P. arcuatus)															
67	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	French														1	
68	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Hawkfish (A. pinos)															
69	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Trumpetfish (A. maculates)															
70	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Wrasses															
71	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Hogfish (L. maximus)															
72	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Spanish hogfish (B. rufus)															
73	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Puddingwife (H. radiatus)															
74	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Creole wrasse (C. parrai)															
75	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Yellowhead (H. garnoti)															
76	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Slipperydick (H. bivittatus)															
77	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Bluehead (T. bifasciatum)															
78	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Clown wrasse (H. maculipinna)															
79	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Goatfishes															
80	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Yellow (M. martinicus)															
81	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Spotted (P. maculatus)															
82	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Grunts															
83	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Bluestriped (Haemulon sciurus)															
84	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Spanish (H. macrostomum)															
85	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Striped (H. striatum)															
86	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	White (H. plumieri)															
87	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Caesar (H. carbonarium)															
88	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Cottonwick (H. melanurum)															
89	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	French (H. flavolineatum)								25	2						
90	1	1	Belize	1	6	3	16	1330	200	NA	Audrey	Harlequin  Bass (Serranusti grinus)															
91	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Serranids															
92	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Nassau Grouper (E. striatus)															
93	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Graysby (C. cruentatus)															
94	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Red Hind (E. guttatus)															
95	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Rock Hind (E. adscensionis)															
96	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Coney (C. fulvus)															
97	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Hamlets (Hypoplectrus spp)															
98	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Silvery															
99	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Bar Jack (C. ruber)		2													
100	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Horse-eyed jacks (C. latus)															
101	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Crevalle jack (C. hippos)															
102	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Permit (Trachinotus falcatus)															
103	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Houndfish (Tylosurus crocodilus)															
104	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Barracuda (Sphyraena barracuda)															
105	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Mullets (Mugil spp.)															
106	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Chubs (Kyposus spp.)															
107	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Porgy (Calamus spp.)	3														
108	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Surgeonfish							1								
109	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Ocean surgeonfish (A. bahanius)															
110	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Doctorfish (A. chirurgus)															
111	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Blue tang (A. coeruleus)															
112	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Sandtile Fish 		1							1						
113	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Squirrelfish (Holocentrus spp.)															
114	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Lionfish (Pterois volitans)															
115	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Snappers															
116	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Mutton snapper (Lutjanus analis)															
117	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Gray snapper (L. griseus)								1							
118	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Dog snapper (L. jocu)															
119	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Schoolmaster (L. apodus)		1													
120	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Yellowtail snapper (O.chrysurus)															
121	1	1	Belize	2	6	4	16	930	200	NA	Audrey	"Puffers, Triggers, Filefish"															
122	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Sharpnose puffer															
123	1	1	Belize	2	6	4	16	930	200	NA	Audrey	 (C. rostrata)															
124	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Balloon (D. holocanthus)															
125	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Porcupine (D. hystrix)															
126	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Queen trigger (Balistes vetula)															
127	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Gray trigger (B. capriscus)															
128	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Black durgon (Melicthys niger)															
129	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Orangepotted file (C. pullus)															
130	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Whitespotted file(C. macrocerus)															
131	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Butterflyfish															
132	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Longsnout BFF (C. aculeatus)															
133	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Foureyebff (C. capistratus)							2								
134	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Spotfinbff(C. ocellatus)															
135	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Bandedbff (C. striatus)															
136	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Reef bff(C. sedentarius)															
137	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Parrotfish		1													
138	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Stoplight Ter ((Sp. viride) Int.)		2	1					1							
139	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Princess Ter.															
140	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Striped Ter.								3	1						
141	1	1	Belize	2	6	4	16	930	200	NA	Audrey	RedbandTer.		1													
142	1	1	Belize	2	6	4	16	930	200	NA	Audrey	RedtailTer.															
143	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Yellowtail Ter.															
144	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Green-blotch Ter.															
145	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Damselfishes &Chromis														2	
146	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Sergeant major (A. saxatilis)															
147	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Blue chromis															
148	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Brown chromis (C. multilineata)															
149	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Yellowtail damsel (M. chrusurus)															
150	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Beaugregory															
151	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Bicolor damsel															
152	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Threespot damsel															
153	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Dusky damsel							7								
154	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Cocoa Damsel 															
155	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Angelfishes															
156	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Grey (P. arcuatus)															
157	1	1	Belize	2	6	4	16	930	200	NA	Audrey	French									3						
158	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Hawkfish (A. pinos)															
159	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Trumpetfish (A. maculates)															
160	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Wrasses															
161	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Hogfish (L. maximus)															
162	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Spanish hogfish (B. rufus)															
163	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Puddingwife (H. radiatus)															
164	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Creole wrasse (C. parrai)															
165	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Yellowhead (H. garnoti)															
166	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Slipperydick (H. bivittatus)															
167	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Bluehead (T. bifasciatum)															
168	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Clown wrasse (H. maculipinna)															
169	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Goatfishes															
170	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Yellow (M. martinicus)															
171	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Spotted (P. maculatus)															
172	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Grunts															
173	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Bluestriped (Haemulon sciurus)															
174	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Spanish (H. macrostomum)															
175	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Striped (H. striatum)															
176	1	1	Belize	2	6	4	16	930	200	NA	Audrey	White (H. plumieri)															
177	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Caesar (H. carbonarium)															
178	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Cottonwick (H. melanurum)															
179	1	1	Belize	2	6	4	16	930	200	NA	Audrey	French (H. flavolineatum)	1							17	1						
180	1	1	Belize	2	6	4	16	930	200	NA	Audrey	Harlequin  Bass (Serranusti grinus)															
181	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Serranids															
182	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Nassau Grouper (E. striatus)															
183	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Graysby (C. cruentatus)															
184	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Red Hind (E. guttatus)															
185	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Rock Hind (E. adscensionis)															
186	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Coney (C. fulvus)															
187	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Hamlets (Hypoplectrus spp)															
188	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Silvery															
189	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Bar Jack (C. ruber)	16								1						
190	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Horse-eyed jacks (C. latus)															
191	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Crevalle jack (C. hippos)															
192	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Permit (Trachinotus falcatus)															
193	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Houndfish (Tylosurus crocodilus)															
194	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Barracuda (Sphyraena barracuda)															
195	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Mullets (Mugil spp.)															
196	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Chubs (Kyposus spp.)															
197	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Porgy (Calamus spp.)															
198	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Surgeonfish															
199	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Ocean surgeonfish (A. bahanius)															
200	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Doctorfish (A. chirurgus)															
201	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Blue tang (A. coeruleus)															
202	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Sandtile Fish 		1							1						
203	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Squirrelfish (Holocentrus spp.)	1														
204	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Lionfish (Pterois volitans)															
205	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Snappers															
206	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Mutton snapper (Lutjanus analis)															
207	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Gray snapper (L. griseus)		2							1						
208	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Dog snapper (L. jocu)															
209	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Schoolmaster (L. apodus)	11							5	8						
210	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Yellowtail snapper (O.chrysurus)															
211	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	"Puffers, Triggers, Filefish"															
212	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Sharpnose puffer															
213	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	 (C. rostrata)															
214	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Balloon (D. holocanthus)															
215	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Porcupine (D. hystrix)															
216	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Queen trigger (Balistes vetula)										1					
217	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Gray trigger (B. capriscus)															
218	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Black durgon (Melicthys niger)															
219	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Orangepotted file (C. pullus)															
220	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Whitespotted file(C. macrocerus)															
221	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Butterflyfish															
222	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Longsnout BFF (C. aculeatus)															
223	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Foureyebff (C. capistratus)							1								
224	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Spotfinbff(C. ocellatus)															
225	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Bandedbff (C. striatus)															
226	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Reef bff(C. sedentarius)															
227	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Parrotfish							2								
228	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Stoplight Ter ((Sp. viride) Int.)	1	1													
229	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Princess Ter.															
230	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Striped Ter.								9	5						
231	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	RedbandTer.		3						6							
232	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	RedtailTer.															
233	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Yellowtail Ter.															
234	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Green-blotch Ter.															
235	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Damselfishes &Chromis															
236	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Sergeant major (A. saxatilis)								2							
237	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Blue chromis															
238	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Brown chromis (C. multilineata)															
239	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Yellowtail damsel (M. chrusurus)															
240	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Beaugregory															
241	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Bicolor damsel															
242	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Threespot damsel															
243	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Dusky damsel															
244	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Cocoa Damsel 							3								
245	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Angelfishes															
246	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Grey (P. arcuatus)															
247	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	French	5								3						
248	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Hawkfish (A. pinos)															
249	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Trumpetfish (A. maculates)															
250	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Wrasses															
251	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Hogfish (L. maximus)															
252	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Spanish hogfish (B. rufus)															
253	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Puddingwife (H. radiatus)															
254	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Creole wrasse (C. parrai)															
255	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Yellowhead (H. garnoti)								1	1						
256	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Slipperydick (H. bivittatus)															
257	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Bluehead (T. bifasciatum)								1							
258	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Clown wrasse (H. maculipinna)															
259	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Goatfishes															
260	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Yellow (M. martinicus)															
261	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Spotted (P. maculatus)															
262	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Grunts															
263	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Bluestriped (Haemulon sciurus)															
264	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Spanish (H. macrostomum)															
265	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Striped (H. striatum)															
266	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	White (H. plumieri)	1							2							
267	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Caesar (H. carbonarium)															
268	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Cottonwick (H. melanurum)															
269	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	French (H. flavolineatum)								6							
270	1	1	Belize	3	6	7	16	NA	200	NA	Audrey	Harlequin  Bass (Serranusti grinus)															
271	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Serranids															
272	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Nassau Grouper (E. striatus)															
273	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Graysby (C. cruentatus)								1							
274	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Red Hind (E. guttatus)															
275	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Rock Hind (E. adscensionis)															
276	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Coney (C. fulvus)															
277	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Hamlets (Hypoplectrus spp)															
278	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Silvery															
279	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Bar Jack (C. ruber)									1	1					
280	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Horse-eyed jacks (C. latus)															
281	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Crevalle jack (C. hippos)															
282	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Permit (Trachinotus falcatus)															
283	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Houndfish (Tylosurus crocodilus)															
284	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Barracuda (Sphyraena barracuda)															
285	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Mullets (Mugil spp.)															
286	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Chubs (Kyposus spp.)															
287	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Porgy (Calamus spp.)	2	6							2						
288	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Surgeonfish															
289	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Ocean surgeonfish (A. bahanius)									4						
290	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Doctorfish (A. chirurgus)															
291	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Blue tang (A. coeruleus)							1	3							
292	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Sandtile Fish 															
293	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Squirrelfish (Holocentrus spp.)	1								5						
294	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Lionfish (Pterois volitans)															
295	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Snappers															
296	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Mutton snapper (Lutjanus analis)	9														
297	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Gray snapper (L. griseus)	13														
298	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Dog snapper (L. jocu)															
299	1	1	Belize	4	6	15	16	1030	200	NA	Audrey	Schoolmaster (L. apodus)	2	2						13	1	3					
