fishID,Common.Ident,Genus,Species,LifeHistory,Piscivore_Herbivore,DominatePreyGroup,SeagrassY_N,parrot_pred
68,RainbowParrot,Scarus,guacamaia,Herbivore,Herb,Plants,Y,1
93,StripedParrot,Scarus,iserti,Herbivore,Herb,Plants,Y,1
18,CaribbeanReefSquid,Sepioteuthis,sepioidea,Carnivore,Pisc,Fish,N,2
43,HarlequinBass,Serranusti,grinus,Carnivore,Invert,Invertebrates,N,2
39,GreenblotchParrot,Sparisoma,atomarium,Herbivore,Herb,Plants,Y,1
69,RedbandParrot,Sparisoma,aurofrenatum,Herbivore,Herb,Plants,Y,1
71,RedtailParrot,Sparisoma,chrysopterum,Herbivore,Herb,Plants,Y,1
91,StoplightParrot,Sparisoma,viride,Herbivore,Herb,Plants,Y,1
106,YellowtailParrot,Sparisoma,rubripinne,Herbivore,Herb,Plants,Y,1
5,Barracuda,Sphyraena,barracuda,Carnivore,Pisc,Fish,N,2
8,Bicolordamsel,Stegastes,partitus,Omnivore,NA,Planktivore,N,0
28,Duskydamsel,Stegastes,adustus,Omnivore,Herb,Algea,N,0
7,Beaugregory,Stegastes ,leucostictus,Omnivore,Herb,Algea,N,0
21,Cocoadamsel,Stegastes ,variabilis,Omnivore,Herb,Algea,N,0
96,Threespotdamsel,Stegastes ,planifrons,Omnivore,Herb,Algea,N,0
12,Bluehead,Thalassoma,bifasciatum,Carnivore,NA,Planktivore,N,0
60,Permit,Trachinotus ,falcatus,Carnivore,Pisc,Fish,N,2
47,Houndfish,Tylosurus,crocodilus,Carnivore,Pisc,Fish,N,2
6,Bass,Unknown,Unknown,NA,NA,NA,N,0
104,YellowStingray,Urobatis ,jamaicensis,Carnivore,Invert,Invertebrates,N,2
