Species.Ident,Common.Ident,Genus,Species,LifeHistory,Piscivore_Herbivore,DominatePreyGroup,SeagrassY_N,parrot_pred
"Puffers, Triggers, Filefish",PuffersTriggersFilefish_Unident,NA,NA,NA,NA,NA,NA,0
Sharpnose puffer,Sharpnosepuffer,Canthigaster,rostrata,Omnivore,Herb,Plants,Y,0
Balloon (D. holocanthus),Ballon,Diodon,holocanthus,Carnivore,Invert,Invertebrates,N,0
Porcupine (D. hystrix),Porcupine,Diodon,hystrix,Carnivore,Invert,Invertebrates,N,0
Queen trigger (Balistes vetula),Queentrigger,Balistes ,vetula,Omnivore,Invert,Invertebrates,Y,0
Gray trigger (B. capriscus),Graytrigger,Balistes,capriscus,Carnivore,Invert,Invertebrates,N,0
Black durgon (Melicthys niger),Blackdurgon,Melicthys,niger,Herbivore,Herb,Algea,N,0
Orangepotted file (C. pullus),Orangepottedfile,Cantherhines,pullus,Herbivore,Herb,Algea,Y,0
Whitespotted file(C. macrocerus),Whitespottedfile,Cantherhines,macrocerus,Herbivore,Herb,Algea,N,0
Butterflyfish,Butterflyfish_Unident,NA,NA,Omnivore,Invert,Invertebrates,N,0
Longsnout BFF (C. aculeatus),LongsnoutBFF,Prognathodes,aculeatus,Omnivore,Invert,Invertebrates,N,0
Foureyebff (C. capistratus),Foureyebff,Chaetodon,capistratus,Omnivore,Invert,Invertebrates,N,0
Spotfinbff(C. ocellatus),Spotfishbff,Chaetodon,ocellatus,Omnivore,Invert,Invertebrates,N,0
Bandedbff (C. striatus),Bandedbff,Chaetodon,striatus,Omnivore,Invert,Invertebrates,N,0
Reef bff(C. sedentarius),Reefbff,Chaetodon,sedentarius,Omnivore,Invert,Invertebrates,N,0
Parrotfish,Parrotfish_Unident,NA,NA,Herbivore,Herb,Plants,Y,1
Stoplight Ter ((Sp. viride) Int.),StoplightParrot,Sparisoma,viride,Herbivore,Herb,Plants,Y,1
Princess Ter.,PrincessParrot,Scarus,taeniopterus,Herbivore,Herb,Plants,Y,1
Striped Ter.,StripedParrot,Scarus,iserti,Herbivore,Herb,Plants,Y,1
RedbandTer.,RedbandParrot,Sparisoma,aurofrenatum,Herbivore,Herb,Plants,Y,1
RedtailTer.,RedtailParrot,Sparisoma,chrysopterum,Herbivore,Herb,Plants,Y,1
Yellowtail Ter.,YellowtailParrot,Sparisoma,rubripinne,Herbivore,Herb,Plants,Y,1
Green-blotch Ter.,GreenblotchParrot,Sparisoma,atomarium,Herbivore,Herb,Plants,Y,1
Damselfishes &Chromis,DamselfishesandChromis_Unident,NA,NA,Omnivore,NA,NA,NA,0
Sergeant major (A. saxatilis),Sergeantmajor,Abudefduf,saxatilis,Omnivore,NA,Planktivore,N,0
Blue chromis,Bluechromis,Chromis,cyanea,Omnivore,NA,Planktivore,N,0
Brown chromis (C. multilineata),Brownchromis,Chromis,mulitilineata,Omnivore,NA,Planktivore,N,0
Yellowtail damsel (M. chrusurus),Yellowtaildamsel,Microspathodon,chrysurus,Omnivore,Herb,Algea,N,0
Beaugregory,Beaugregory,Stegastes ,leucostictus,Omnivore,Herb,Algea,N,0
Bicolor damsel,Bicolordamsel,Stegastes,partitus,Omnivore,NA,Planktivore,N,0
Threespot damsel,Threespotdamsel,Stegastes ,planifrons,Omnivore,Herb,Algea,N,0
Dusky damsel,Duskydamsel,Stegastes,adustus,Omnivore,Herb,Algea,N,0
Cocoa Damsel ,Cocoadamsel,Stegastes ,variabilis,Omnivore,Herb,Algea,N,0
Angelfishes,Angelfishes_Unident,NA,NA,Herbivore,Herb,Sponges,N,0
Grey (P. arcuatus),GreyAngel,Pomacanthus ,arcuatus,Herbivore,Herb,Sponges,N,0
French,FrenchAngel,Pomacanthus ,paru,Herbivore,Herb,Sponges,N,0
Hawkfish (A. pinos),Hawkfish,Amblycirrhitus,pinos,Carnivore,NA,Planktivore,N,0
Trumpetfish (A. maculates),Trumpetfish,Aulostomus,maculatus,Carnivore,Pisc,Fish,N,2
Wrasses,Wrasses_Unident,NA,NA,NA,NA,NA,N,0
Hogfish (L. maximus),Hogfish,Lachnolaimus,maximus,Carnivore,Invert,Invertebrates,N,0
Spanish hogfish (B. rufus),Spanishhogfish,Bodianus,rufus,Carnivore,Invert,Invertebrates,N,0
Puddingwife (H. radiatus),Puddingwife,Halichoeres,radiatus,Omnivore,Invert,Invertebrates,N,0
Creole wrasse (C. parrai),Creolewrasse,Clepticus,parrae,Omnivore,NA,Planktivore,N,0
Yellowhead (H. garnoti),Yellowhead,Halichoeres,garnoti,Omnivore,Invert,Invertebrates,N,0
Slipperydick (H. bivittatus),Slipperydick,Halichoeres,bivittatus,Carnivore,Invert,Invertebrates,N,0
Bluehead (T. bifasciatum),Bluehead,Thalassoma,bifasciatum,Carnivore,NA,Planktivore,N,0
Clown wrasse (H. maculipinna),Clownwrasses,Halichoeres,maculipinna,Carnivore,Invert,Invertebrates,N,0
Goatfishes,Goatfishes_Unident,NA,NA,Carnivore,Invert,Invertebrates,N,0
Yellow (M. martinicus),Yellowgoatfish,Mulloidichthys ,martinicus,Carnivore,Invert,Invertebrates,N,0
Spotted (P. maculatus),Spottedgoatfish,Pseudupeneus,maculatus,Carnivore,Invert,Invertebrates,N,0
Grunts,Grunts_Unident,NA,NA,Carnivore,Invert,Invertebrates,N,0
Bluestriped (Haemulon sciurus),Bluestriped,Haemulon,sciurus,Carnivore,Invert,Invertebrates,N,0
Spanish (H. macrostomum),SpanishGrunt,Haemulon,macrostomum,Carnivore,Invert,Invertebrates,N,0
Striped (H. striatum),StripedGrunt,Haemulon,striatum,Carnivore,Invert,Invertebrates,N,0
White (H. plumieri),WhiteGrunt,Haemulon,plumieri,Carnivore,Invert,Invertebrates,N,0
Caesar (H. carbonarium),CaesarGrunt,Haemulon,carbonarium,Carnivore,Invert,Invertebrates,N,0
Cottonwick (H. melanurum),WhiteGrunt,Haemulon,plumieri,Carnivore,Invert,Invertebrates,N,0
French (H. flavolineatum),FrenchGrunt,Haemulon,flavolineatum,Carnivore,Invert,Invertebrates,N,0
Harlequin  Bass (Serranusti grinus),HarlequinBass,Serranusti,grinus,Carnivore,Invert,Invertebrates,N,0
Eagle Ray,EagleRay,Aetobatus,narinari,Carnivore,Invert,Invertebrates,N,0
Trunkfish,Trunkfish,Lactophrys,NA,Omnivore,Invert,Invertebrates,Y,0
Mahogany,MahoganySnapper,Lutjanus,mahogoni,Carnivore,Pisc,Fish,N,2
Mahogony Snapper,MahoganySnapper,Lutjanus,mahogoni,Carnivore,Pisc,Fish,N,2
Mahogany Snapper,MahoganySnapper,Lutjanus,mahogoni,Carnivore,Pisc,Fish,N,2
Mahogany snapper,MahoganySnapper,Lutjanus,mahogoni,Carnivore,Pisc,Fish,N,2
trunkfish,Trunkfish,Lactophrys,NA,Omnivore,Invert,Invertebrates,Y,0
Southern Ray,SouthernRay,Dasyatis,americana,Carnivore,NA,Fish,N,2
Yellow Stingray,YellowStingray,Urobatis ,jamaicensis,Carnivore,Invert,Invertebrates,N,2
Smooth Trunkfish,SmoothTrunkfish,Lactophrys,NA,Omnivore,Invert,Invertebrates,Y,0
Carribean Reef Squid,CaribbeanReefSquid,Sepioteuthis,sepioidea,Carnivore,Pisc,Fish,N,2
Ray,SouthernRay,Dasyatis,americana,Carnivore,NA,Fish,N,0
Mahogony snapper,MahoganySnapper,Lutjanus,mahogoni,Carnivore,Pisc,Fish,N,2
Stingray,SouthernRay,Dasyatis,americana,Carnivore,NA,Fish,N,0
Mohara,Mohara,Gerres,cinereus,Carnivore,Invert,Invertebrates,N,0
Porkfish,Porkfish,Anisotremus,virginicus,Carnivore,Invert,Invertebrates,N,0
Tarpon,Tarpon,Megalops,atlanticus,Carnivore,Pisc,Fish,N,2
Rainbow,RainbowParrot,Scarus,guacamaia,Herbivore,Herb,Plants,Y,1
Midnight,MidnightParrot,Scarus,coelestinus,Herbivore,Herb,Plants,Y,1
Juvenile,JuvenilleParrot_Unident,NA,NA,Herbivore,Herb,Plants,Y,1
Bass,Bass,Unknown,Unknown,NA,NA,NA,N,0
Smallmouth,SmallmouthGrunt,Haemulon,chrysargyreum,Carnivore,Invert,Invertebrates,N,0
Black Margate,BlackMargate,Anisotremus,surinamensis,Carnivore,Invert,Invertebrates,N,0
Black/White(?) Grunt,SailersChoice,Haemulon,parra,Carnivore,Invert,Invertebrates,N,0
Black/White Grunt,SailersChoice,Haemulon,parra,Carnivore,Invert,Invertebrates,N,0
Gag Grouper,GagGrouper,Mycteroperca,microlepis,Carnivore,Pisc,Fish,N,2
Skate,YellowStingray,Urobatis ,jamaicensis,Carnivore,Invert,Invertebrates,N,0
Filefish,Filefish,Aluterus,NA,Herbivore,Herb,Algea,NA,0
Juvenille,JuvenilleParrot_Unident,NA,NA,Herbivore,Herb,Plants,Y,1
